from,to,weight
P2KGQSCHXWzgnyfDr5pv2uTmNxzRgGEGPvp15Ga2hyUQHVS,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,1234.6
P2KEnW1T1NFYctX7LqvED5RNkqoCcYWc7UdTVzdoLPXpFn1,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,6157.1
P2K4eUNE9gnLHL43BDQTqpyV9gQQphKJGtxZrz1sU6w57Bi,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,499.0
P2K63PRzw6hqrXb8SfitqWNJTdsAR2Zrm5fgx6b3voZgYBf,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,35649.1
P2KKL7pqiLNvzTFVgsVzDY6D9Z7Tyo35Cfg8spjRf5UdDJs,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,53207.0
P2KJGicVtfDKBtyC3jkrd8ELYzrFfN7JiPKBC1ipFyokfWY,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,389.0
P2KHRkikwztPCfynknLHFiQByJ9NCweYxuaMRDKvb1anthJ,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,418.8
P2K8Jfa3jcyhktruJqm6EYxJEHwYFuB7BDVoYvDAAUA3VxQ,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,10009.0
P2KHJ7vqN5A6WzZC6VXEJJMyxsmYzXxKD81wZnDnz4mhvg6,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,47406.3
P2KEgXetkkL2aHTXNhuSqRNpBTQvm4eXv88viWqAkyQNqnp,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,74079.4
P2KKQZyPqNjRdfkNUvGXAagPsjwjGrTYojcWxQFeoqtUTsi,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,5885.1
P2KD9Lhe3Jo6iiGp7sC9Ft3N9kFVi5r3QWdUuxMoYEE2aUb,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,49999.0
P2KFC9czuwG6WfTKmt4RLBp3mdcjLs7H1GQu7462dNkfMNQ,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,10984.1
P2K85z7qeBGDw7FkutxfEapKYTWuieFsMSaDaZSttzzMRvX,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,50010.0
P2KDxNoTCCsTomQfAVTqNDz9vXUCCFL3fQUXmXrqSPgjUJN,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,49999.0
P2KEVizS7wDkhDMuuVhXFYaKGGrnYUdY4c2KqmWZMSFn2is,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,3883.0
P2K9NZpRuoAZ9ZfikrbKZSw1YoK23TFsHe64JLESoaMpY6c,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,3989.0
P2K77kuJQUuXAQT8xMzLoUJwWX4gZTxavxvugEJ676wxTXz,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,49999.0
P2KDkdqdRgtGiaP9DhtHttsspd8oVooZ7PPV6Ev21M41iC7,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,81.6
P2K4dYxjF7UhMesfyZfazWyM35csfvSH1wUXhDcWkn6BE47,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,99.0
P2KBdUtovRdV2FRr43wyWBYPaRcJkFvGiyQtTppKXqM9SSF,P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,176.3
